Section,Subsection,Content
Get in,By train,london is the hub of the british rail network  every major city in mainland britain has a frequent train service to the capital and most of the smaller provincial cities and large towns also have a direct rail connection to london of some sort  although the frequency and quality of service can vary considerably from place to place rail fares to london vary enormously from very cheap to prohibitively expensive  the golden rules are to book advance tickets for a particular train time dont travel into the city on friday afternoons and sundays and avoid leaving buying tickets until the day of travel there are three basic types of ticket which are summarised below much of the advice applies to rail travel in general within the united kingdom the local and commuter rail companies within the london and home counties area also have a bewildering array of special fares which are all in essence variations of the offpeak ticket and are far too detailed to cover here  go directly to the website of the operator concerned for more information if you only intend to use trains within the greater london boundary then theoyster cardexplained below is by far the easiest and cheapest option to use seats can be reserved for free on all longdistance trains to london  the reservation is always issued automatically with an advance ticket and with most offpeak and anytime tickets bought online if for whatever reason you hold an anytime or offpeak ticket and there is no seat reservation coupon then it is highly recommended you get one from any railway station ticket office  if you want to avoid camping out in the vestibule for all or part of the journey first class is available on all long distance services to london the standard of service varies from operator to operator but in general you get a wider more comfortable seat free teacoffee for the duration of the journey and some sort of complimentary catering service it can be great value if you get an advance firstclass fare but it is extremely expensive otherwise and to be honest  not really worth it you can pay a weekend supplement generally £1520 to sit in the first class section of the train on saturdays and sundays  useful if the service you are on is hideously overcrowded  but you dont get the same catering service as during the week if you are the holder of abritraildead linkpass things are simpler  reservations are not required however if you wish to be guaranteed a seat rather than standing for a lengthy journey trains can be very busy especially at peak times then you can make a seat reservation at any station if you intend to use the overnight sleeper trains to london you will have to pay a berth supplement for every member of your party  provided there is berth availability on the train london st pancras international station receives highspeed trains operated byeurostar from five cities in belgium france and the netherlandsamsterdam3 hr 55 minbrussels1 hr 50 minlille1 hr 22 minparis2 hr 15 min androtterdam3 hr 16 min it dives under the sea for 35 km 22 mi via the channel tunnel despite being considered a significant part of the route the train only passes through the channel tunnel for about half an hour and most of your journey will be spent above ground whizzing through the countryside there are airportstyle security checks prior to boarding although theyre not as strict leave ample time before your train departs for your belongings and yourself to be scanned and for your passport to be checked eurostar advises its customers to be at the security check at least 2 hours when departing france  belgium  the netherlands or 90 minutes when departing london ahead of departure for standard class due to extra border controls caused by brexit there is no advantage to arriving significantly earlier than this the segregated areas of each station have limited seating and the secure lobbies are not large so passengers are not usually allowed even to join the queue for the passport and security check until 2 hr90 min before their scheduled departure consider arriving at the train station just slightly earlier than the advised time so you can take 15 minutes to buy food bottles of water or lastminute gifts and still be in the queue at least a full hour before your train departs and before they start allowing the next train to join the queues the selection is wider and the prices are noticeably better in the regular stations than in the secure areas or on board the train like all train services various fares are available depending on the time of day and how far you book in advance there are three classes of ticket available business premier the most expensive standard premier and standard seats are available both with tables and without tables are popular with families and groups so if you require a table you will need to book far in advance the covid19 pandemic triggered the cancellation of eurostar services from disneyland alpine ski resorts and regional french cities as of 2023 these have not been reinstated however the continental cities still served by eurostar all have great rail access from elsewhere and there are through tickets available even for places not served by eurostar for exampledeutsche bahnoffers tickets from any station in germany to london for domestic train services there are 12 main linenational railterminals with the exception of fenchurch street tube tower hill all of these stations are also on the london underground with most being on the circle line when purchasing a ticket to or from london via national rails website you will normally just select london all stations and the system will figure out which ones you can use clockwise starting at paddington major national rail stations are
Get in,By coach,most international and domestic long distance coach us english bus services arrive at and depart from a complex of coach stations off buckingham palace road inwestminsterclose to london victoria rail station virtually all services operate from514931601486421london victoria coach station which has separate arrival and departure buildings some services by smaller operators may use the5149290146122green line coach stationnearby listed below are the main coach operators it is strongly recommended to book your travel in advance fares can be much cheaper even a day or two can make all the difference and you avoid ticket office queues and potentially soldout coaches all large and many smaller coach operators allow passengers to show tickets on their mobile phone and all will allow passengers to print tickets at home
Get in,By car,london is signposted on major routes in southern england the midlands and parts of wales driving in london can prove expensive or  in heavy traffic  time consuming you can park at railway stations further afield to catch the train into london if you would prefer not to drive remember to drive on theleftin the uk including london intercity road routes in the uk are called motorways with blue signs other major routes are known as a roads main routes into london includeː from scotland the north and the midlandsː from the east of englandː from kent and franceː from the south the south west and walesː you can use several orbital routes and ring roads to get into different parts of london once you are on the citys edges these areː
Get around,,the main travel options in summary are
Get around,By public transport,transport maps london is the home of the famous tube map and tfl produces some excellent maps to help you get around optimising the cost of travel the london fare system can be notoriously complex thisis a useful guide that explains how the different services work together and the different schemes one can use to save a considerable amount of money london has one of the most comprehensive public transport systems in the world despite residents perpetual and sometimes justified grumbling about unreliability public transport is often the best option for getting anywhere for visitors and residents alike in central london use a combination of the transport options listed below  and check your map in many cases you can easily walk from one place to another or use the buses public transportation shuts down early on christmas eve and all day on christmas day transport for london tflis a government organisation responsible for all public transport their website contains maps plus an excellentjourney planner tfl publishes a usefulcoping guidespecially designed for travellers who wish to use public transport during their visit to london tfl also offers a 24hour travel information line charged at a premium rate tel 44 843 222 1234 or text 60835 for suggestions on getting from a to b and for up to the minute information on how services are running fortunately for visitors and indeed residents there is a single ticketing system oyster which enables travellers to switch between modes of transport on one ticket you must have avalid ticketat all times when travelling by bus tram or train in london if you cant show a valid ticket or a validated oyster card you will have to pay a penalty fare which is usually £40 increased to £80 if it isnt paid within 21 daysalwaysbuy your ticket before you get on the train if using an oyster card ensure that you touch in and out on a yellow reader before and after travelling by tube or train even if there are no barriers or they are left open there are four types of tickets you can buy the oyster card a contactless electronic smartcard travelcards which exist both in paper form or can be loaded on your oyster card contactless debit or credit cards and paper tickets paper tickets are significantly more expensive than paying by oyster card or contactless card oysteris a contactless electronic smartcard run by transport for london unless you have a contactless credit or debit card oyster is the most costeffective option if you plan to be in london for any more than a couple of days or if you intend to make return visits to the city the savings quickly recover the initial purchase cost you can buy an oyster card from any tube station for a deposit of £7 you can top up an oyster card with electronic funds at ticket machines or shops displaying the oyster logo this money is then deducted according to where you travel the cost of a single trip using the oyster card is considerably less than buying a single paper ticket with cash prices vary depending on the distance travelled whether by bus or tube and on the time of day you can also add various electronic sevenday 1 month and longerperiod travelcards onto an oyster and the card is simply validated each time you use it the deposit isfully refundable if you have less than £10 credit on your card you can claim an instant refund of the credit and deposit at some ticket machines after 48 hours of purchase of your oyster card station staff will assist you if necessary however your oyster card and the credit on it never expires so keep it around in case you return to london be prepared to give your signature on receipts or even show id for refunds over a few pounds you can sign up forcontactless and oyster account this will allow you to track your journeys and make refund claims for incomplete journeys visitor oyster cardis a version of the normal oyster card targeted to travellers this version of the oyster card can be purchased from some travel agents outside london and overseas or ordered by mail this card can also be sent back to tfl by mail after a trip to london to claim a refund for the unused balance visitor oyster cards come precharged with payasyougo credit in increments from £10 to £50 the card itself costs £5 non refundable fee plus postage with a visitor oyster card you can also getsome discountsin various venues across the city the visitor oyster cards are for pay as you go use only and cannot be registered to provide protection against loss or topped up from the oyster smartphone app if you have anational railcard such as the 1625 railcard or the senior railcard you can register this with your oyster card at a tube station members of staff near ticket machines can do this to receive a 33 discount on offpeak payasyougo fares on rail  tube oyster is valid on all red london buses and almost all trains in london a list of destinations is available on thelondon tube and rail services map oyster isnotvalid on buses or trains outside london if you need to travel beyond the stations on the map you will have to pay for a paper ticket oyster is also not accepted on longdistance coaches tour buses or charter buses also oystercannotbe used on the heathrow express the following table summarises the validity of the different tickets you can use on oyster for most tourists the tube trains and buses are the only transport you will use but oyster is not valid at all on airport express trains to heathrow gatwick luton stansted or southend however oysterisvalid on the piccadilly underground line  the elizabeth line to heathrow airport note peak fares are charged at all times to heathrow airport when using your oyster card to travel make sure the reader is displaying an orange light then place it flat against the reader a single beep and a green light mean your card has been accepted and you can proceed two beeps and a red light mean your card has not been accepted take the card off the reader wait for the orange light and try again if this continues to happen ask for help from a member of staff dont try to insert your oyster card into the slot at the ticket gates when getting onany kind of train you must touch your oyster card on the yellow circular readerat the start and end of your journey at stations with ticket gates these readers will be on the righthand side of the gates in the outlying parts of the city there are no entry or exit gates at some stations in this case the readers are on freestanding cabinets next to entrancesexits failing to touch out when you leave a station will result in you being charged amaximum farefor your journey since the system doesnt know which station you left from the maximum fare is between £540 and £1420 and depends on the station where you started your journey usually you will not need to touch your oyster card on a reader whenchanging trains however some stations havepink oysterroute validators on the platforms if you are getting off one train and getting onto another at one of these stations touch your oyster on the pink reader so that the system charges you the right fare for the route you have taken there are a few other situations where you might have to touch out when changing trains usually when changing between tube dlr andor national rail  in these cases make sure youtouch back inbefore getting on your next train when using a londonbus or a tram touch inoncewhen getting ondonttouch out when you get off the bus or you will be charged twice most buses have their oyster reader next to the driver trams and some buses have oyster readers on poles next to the doors you can make achange to another bus or a tramfree of chargeduring one hour youll still have to touch your oyster on the 2nd bus or tram but no money will be deducted then contactless credit or debit cards or other rfid identitycards may interfere with your oysterif you keep them in the same wallet this usually results in an error message but may mean you get charged the full fare from your contactless credit or debit card instead be careful standing near the readers on some buses  they are often quite sensitive and may read your card from several centimetres away even if you did not intend this it is best to remove the card from the wallet or purse it is in you can top up your oyster card with cash at any tube station ticket machine or ticket office you can use a credit card if it has a pin with oyster payasyougo also known as prepay money is then deducted from your oyster card each time you travel when travelling by train the fare is calculated based on where you started and ended your journey payasyougo is much cheaper than paying by cash for each journey especially if you make multiple trips bus fares are flat and you will be charged the same fare every time you get on the bus regardless of distance the amount of oyster credit deducted from your card in one day is capped to a daily limit this means that on a daytoday basis you will always get the best fares when using oyster payasyougo even if you travel by bus only your total fares are also capped this makes bus travel very good value in central london if you are making lots of journeys atravelcardgives you unlimited travel on trains within the relevant zones and on red london buses a travelcard is typically loaded onto your oyster but for periods longer than 7 days you will usually need to register your oyster card or provide some form of photographic id for an uptodate and comprehensive list of fares seetfls website if you are using oyster and travel beyond the zones of your travelcard you will be charged an extension fare from your payasyougo credit when you touch out at your destination contactless creditdebit cards apple pay and google pay can be used topay faresanywhere oyster is accepted most visa mastercard maestro cirrus or american express cards issued outside the uk are accepted some prepaid cards may work as well some cards such as visa contactless cards issued in the united states will not work when you enter or leave a station or get on the bustouch the card against the yellow validation reader as if it were an oyster card the price is the same as with an oyster card the price per day is automatically capped at the price of a day ticket you also avoid the queues at ticket machines the £5 deposit for an oyster card and you never have to top it up a travelcard can not be loaded onto a contactless card the same card cannot be used by two or more different passengersyou must use the same device to touch in and out otherwise you may get charged for two journeys  for example if you touch in using your smartphone but touch out using your physical card the system may get confused and charge you twice even if the phone is linked to the same card you may notice a charge of £010 on your bank statement shortly after you touch in for the first time  this is normal this will change to the price of all your travel for that day usually overnight but sometimes it can take a few days using a contactless card as a visitor from abroad may be tricky though your bank may ask for additional confirmations so tfl may suspend accepting a card until you release a pending payment also sometimes you may end up with an unfinished journey even though youve touched an exit gate probably because a card may require a bit longer to process after a gate is opened keep your card at a reader until the gate opens fully you can sign up for acontactless and oyster accountto check for these issues every station where you can use oyster or contactless payment is in a fare zone from 1 to 9  you can see what zone a station is in on the tube map look for the shaded areas and numbers in the background some stations on the boundary of two zones have their name written in a white box which means theyre considered to be in both zones for example earls court is in zones 1 and 2 if your journey starts or ends at one of these stations the system will work out which zone would result in the cheapest fare and charge that the price of a journey is determined by how many zones it passes through in general the more zones you travel through the higher the fare with journeys passing through zone 1 most stations in central london being more expensive than ones going around it tfls website has asingle fare findertool that can be used to work out the price of a journey between any two stations most journeys have both apeak and offpeakfare  a peak journey is one starting between 0630 and 0930 and between 1600 and 1900 on working days excluding public holidays pay as you go fares arecapped once the fares for all your journeys on the same day add up to a certain amount which varies depending on all the zones travelled any further travel that day will be free there are also weekly caps covering all travel within a calendar week caps are calculated separately for peak and offpeak travel note that even once you have reached a daily or weekly capyou still need to touch in and outfor each journey otherwise you are traveling without a valid ticket  though you wont be charged anything for it if you use a combination of tube zone 16 railway and bus journeys the tubes fare caps based on the farthest zone you travelled to will apply to all your journeys for that day its still possible to pay for a journey by apaper single or return ticket however this only makes sense if you take perhaps two to three journeys on public transport during your trip to london as they cost significantly more roughly double the cost in comparison with the other means of payment season tickets can also be purchased in paper
Get around,Accessibility,if you have a physical disability you might find it harder to travel around london the oldest parts of the underground date from the middle of the 19th century and some of the surface rail network is even older therefore much of the transport system wasnt built to cater for people with disabilities narrow winding passageways steep staircases and cavernous gaps between some platforms and trains are all barriers for certain passengers however times and attitudes have changed all stations lines and trains built since the 1990s are accessible and many older stations have been retrofitted with lifts and ramps in addition all london buses and trams have lowfloor doors access ramps and space onboard for at least one wheelchair user most black cabs taxis are also accessible that said there are still significant gaps in accessibility particularly on the tube in central london to help you navigate tfl publish several maps to cater for different needs for more info visit thetransport accessibility portalon the tfl website
Get around,By Underground,thelondon underground known popularly asthe tubedue to its tubelike tunnels drilled through the london clay is a network of 11 lines which crisscross london in one of the largest underground rail networks in the world it was also the first the oldest section from paddington to farringdon opened as the metropolitan railway in 1863 the tube is an easy method of transport even for new visitors to london and is equivalent to subway and metro systems in other world cities the routes operated by the london underground fall into 2 broad types the older subsurface lines encompassing the metropolitan district circle and hammersmith  city lines date from the 19th century the deep level routes were largely constructed in the earlytomid20th century the subsurface lines are usually accessed by walking down a short set of stairs whereas the deeplevel lines are accessed by a complicated network of escalators or lifts it is the deep lines which are served by the iconic tubeshaped trains which despite their small size can only just fit through the tunnels however the deeplevel trains do not have air conditioning which can make them unbearably hot in the summer each line has stations with interesting architectural and artistic features typical of the era they were opened as you travel around the network look out for victorian finery edwardian glazed tiles smooth art deco symmetry and striking modern masterpieces various conservation pieces are also present such as the heritage 1900s station name roundel sign at caledonian road on the westbound platform trains on most days and on most lines run from around 530am to around 1am they are usually the fastest way to travel in london the only problem being the relative expense and the fact that they can get extremely crowded during rush hours 73010am and 4307pm there is no air conditioning on the deeplevel trainstfls websitehas a page notifying of tracking delays closures and planned engineering works which you should check if you plan to travel on a saturday or a sunday when entire lines may be shut down due to engineering works if youre travelling around central london then taking the tube for just one stop can be a waste of time for example to travel between leicester square and covent garden stations takes over 10 minutes on the tube despite the two stations being only a few minutes walk apart this is especially true since the walk from a tube station entrance to the platform at some central stations can be extensive the tube map also gives no information on londons extensive bus network or any of its national rail network except for thameslink for more information see theby foot section thenight tube introduced in 2016 is a limited 24hour tube service that operates on certain lines on fridays and saturdays night tube fares are the same as the offpeak fares during the day day travelcards are valid on the day they were issued using the date printed on the card and for journeys starting before 430am the following day for example if you buy a day travelcard at 11am on friday you can use it until 429am on the following saturday daily capping on oyster cards and contactless payment cards also applies as of april 2022 the night tube runs on the following lines itusedto run on some other lines but this has been curtailed due to the coronavirus also note that until june 2022 there are strikes that can affect the night tube service for the central and victoria lines which the former likely to be more severe travel on the tube system will always require the purchase of a ticket or the use of an oyster card or contactless payment card if you have one fare evasion is treated as a serious matter and will get you a fine single tickets are charged at two rates depending on the payment method cash fares and single oyster fares are zonal meaning that the price of a journey is determined by the zones you travelled through there are additional fares payable for zones beyond 9 but these are mostly outside what is considered london paper travelcards valid for 1 day or 7 days are also available and can also be used on buses national rail trains the dlr and croydon tramlink  however there is a capping feature for contactless and oyster cards which guarantees a strict upper bound on the fare you pay for a day and a week which means that a paper travelcard is unnecessary and costlier almost all stations have automatic ticket barriers if you pay by oyster card or a contactless payment card just tap your card against the yellow pad to open the barriers ensure that you do this upon both entrance and exit if you have a paper ticket insert it faceup into the slot on the front of the machine and remove it from the top to enter the station if you have a single ticket it will be retained at the exit gate if you have luggage or if your ticket is rejected there is normally a staffed gate as well paper tickets can be purchased from vending machines in the stations ticket hall the touchscreen machines have instructions in multiple languages offer a greater choice of ticket and accept bills and creditdebit cards if your card has no embedded microchip you cannot use these machines these machines do not support contactless you can also add oyster payasyougo credit on many mainline ticket vending machines in london if you have a national train ticket which involves travelling across london egbrightontodarlington you may be able to travel on the tube across london from one london terminus to another if your train ticket has any permitted † with the dagger symbol written in the route section at the bottom of the ticket then you are able to travel on the tube without buying another ticket these can be used at the ticket barriers in the same way as the paper tickets described above all lines are identified by name eg circle line central line piccadilly line many lines have multiple branches rather than running pointtopoint so always check the trains destination which is shown on the front of the train and the platform indicator screens and will be broadcast on the trains pa most branches are only served by specific services from the eastern end of the district line at upminster for instance you can only catch trains for ealing broadway and richmond  if you want to go to wimbledon you will have to change trains later down the line trains stop at all stations with the exception of the metropolitan line which during peak hours runs semifast and fast trains that skip some stations signs can be seen to be vague especially if you are unfamiliar with what compass point direction eg northbound youre travelling in as these are most often given rather than destinations a person new to the tube can become very frustrated trying to work out where a particular connection at a particular station is found each station is staffed by at least two personnel at all times who can advise you on your route and full system maps are on the walls of every platform and ticket office additionally on every platform there are individual line maps showing all the stations served by trains calling at that platform google maps is another handy tool the tube is made up of 11 lines each bearing a traditional name and a standard colour on the tube map you can change between lines at interchange stations providing you stay within the zones shown on your ticket since the tube map is well designed it is very easy to work out how to get between any two stations and since each station is clearly signed it is easy to work out when to exit your train the tube map is a diagram and not a scaled map making it misleading for determining the relative distance between stations as it makes central stations appear further apart and somewhat out of place  the most distant reaches of the metropolitan line for example are almost 64 km 40 mi from the centre of the city tube maps are freely available from any station most tourist offices and are prominently displayed in stations thenational rail mapshowing national rail services is displayed as a large poster at most tube stations direction signs for the platforms indicate the geographical direction of the linenotthe last stop of the line it is always advisable to carry a pocket tube map to help you with this thenorthern linehas two routes through central london which split at euston and rejoin at kennington one the charing cross branch runs through the west end while the other route runs via the city of london called the bank branch or the city branch it is fairly easy to work out which way your train is going check the signs above the platform and on the front of the train the trains destination and central branch will also be announced on board for example this train is for edgware via charing cross the london underground has connections to all terminals at heathrow including terminals 4  5 and most major london rail termini with the exception of fenchurch street interchange hubs are also served such as farringdon elephant  castle harrow  wealdstone and stratford be considerate of your fellow passengers as best you can pushing and rushing are seen as extremely rude  theres not much need to run for a tube train unless its the very last one of the day also trying to strike up a conversation with strangers is seen as peculiar and will instantly mark you out as a tourist despite having a reputation as being aloof londoners are usually happy to help out if you have a problem but otherwise theyd rather you didnt try to be overly familiar in some cases particularly for the subsurface lines the tube doors have buttons on the outside they normally come to use if a train is waiting for over 45 seconds as the doors will automatically close to conserve energyifthe train isnt ready to depart which is easy to check  if the button isnt illuminated the train is ready to depart pressing the button will open the doors when using the escalatorsalways stand on the rightto allow people in a hurry to pass drinking alcohol or smoking anywhere on the london underground is illegal crime levels on the tube are comparable to but typically lower than in many other subway systems and traveller advice about watching luggage and valuables is reasonable the tube system is covered by an extensive cctv system although it is not advised to be reliant on this fact when travelling the london underground considers its safety record to be a matter of professional honour major incidents being incredibly rare despite the media attention they generate frontline staff are well trained for emergencies and will follow wellrehearsed procedures in addition frontline staff are generally appreciative of traveller vigilance if concerns are politely expressed if you notice something that concerns you please speak to a member of staff or a british transport police officer on the wall of the platforms or freestanding on outdoor platforms there will be a round white device labelled help point with one or two buttons and a fire alarm press the green button to alert staff to an emergency and press the blue button to ask for nonurgent assistance if you see smoke or fire always use the fire alarm first on tube trains you will notice that there is a red handle you can pull to alert the driver to a serious incident or accident occurring on the train if the train is in a tunnel the alarm should only be used in dire emergencies that require immediate attention as pulling the alarm will activate the trains brakes in practice when the alarm is activated a driver will move the train forward into the next station where help can be obtained therefore the alarms should only be used in stations if possible as passengers will then be able to escape the train quickly if needed tfl advise travellers to carefully consider their usage of the passenger alarm and if suitable leave the train at the next station and seek help from station staff instead because trains on the london underground are run close together any delays can have serious knockon effects for the rest of the service in contrast train drivers vary in their opinion as to when the alarm should be used consensus tends to be that if its something you would run down the train to tell the driver then the alarm should definitely be used owing to a heightened security climate and a history of political violence targeting the tube unattended baggage may be treated as a suspect or explosive device and may be destroyed lost items if not destroyed will end up at thelost property officeand will be stored for 3 months you will need to fill in a form online describing your lost item and tfl will contact you if it is found there is a charge for recovery of most items however some items eg laptops have higher fees 
Get around,By bus,londons iconic redroutemasterbuses which are recognised the world over were withdrawn from regular service in 2005 although a heritage service was continued on portions of two routes this ceased in 2019 routemasters are still used for tours and private parties buses are generally quicker than taking the tube for shorter less than a couple of stops on the tube trips and out of central london youre likely to be closer to a bus stop than a tube station most buses in london are very frequent at least every ten minutes and are accessible for buggies and wheelchairs buses also have a flat rate fare which stays the same no matter how far you travel you will need to pay the fare again if you board a different bus although the hopper fare allows you to take as many buses as you like in 62 minutes and only pay for the first one over 5 million bus trips are made each weekday with over 700 different bus routes you are never far from a bus each bus stop has a sign listing the routes that stop there and bus routes are identified by numbers and sometimes letters buses have very clearblindson the front with their route number and their destination transport for london produces allbus route maps bus tips when you see your bus approachingsignal clearly to the driverthat you intend to get on their bus the way to do this is to stick your hand out with an open palm the driver will indicate and pull into the stop always wait for people to get off the bus before you enter most buses havetwo doors form an orderly queue at the front door when you reach the driver touch your oyster or contactless card on the reader or show them your travelcard or pass importantly cash isnotaccepted some buses are worked by the new routemaster you can get on this bus at any of its three doors as long as you touch in your oyster or contactless card as soon as you board it should be noted that unlike the tube you are allowed to use an oyster card which has zero but not negative or insufficient balance  this will cause the balance to be negative the machines will flash an emergency fare charged message which is the same as the normal fare however you must then recharge before the card can be used again if you are a wheelchair user you should indicate as normal and wait by the second door from the front the driver will activate the wheelchair ramp for you to use most buses have a system that provides visual and audible announcements of the buss destination at every stop the stops and nearby landmarks when you are nearing your stop press one of the red stop buttons on the handrailsonce only youll hear a bell or a buzzer and the words bus stopping will appear on the destination screen get off the bus using the middle or rear door there is also a blue stop button by the wheelchair space  this indicates to the driver that the wheelchair ramp is required at the next stop finallyalways watch out for moving traffic cyclists and pedestrians when you get off the bus it isnot possible to buy tickets on the busso you must have a valid travelcard oyster card or contactless credit or debit card before you get on alternatively tickets may be purchased from most newsagents in london or from ticket machines at certain central london stops the adult bus fare is £165 discounts are available to holders of certain cards that must be applied for in advance unlike on the tube you are charged for each bus you travel on if you change buses then you will normally be charged a new bus fare up to the dailyweekly price cap however thehopper fareallows you to make unlimited bus or tram journeys for the price of one if you use an oyster card or contactless payment method all of your journeys must be made within an hour of touching in on the first bus or tram you are travelling on and you must also use the same oyster or contactless card for the other journeys if you have a sevenday monthly or yearly travelcard or bus and tram pass on your oyster that includes free bus travel across all of london even outside the zones of your travelcard buses arent subject to zones you still must touch in when you get on the bus but you wont be charged if you do not have a travelcard the fare is taken from your oyster pay as you go credit as soon as you touch in when you get on the bus daily bus and tram travel is capped so you generally wont pay more than an equivalent travelcard unlike the tube you are allowed to use an oyster card which has zero but not negative or insufficient balance  this will cause the balance to be negative the machines will flash an emergency fare charged message which is the same as the normal fare however you must then recharge before the card can be used again touch your oyster on the reader as soon as you get on the bus or you may be liable to a penalty fare or prosecution you can also pay for with most contactless debit credit or prepaid visa mastercardmaestro or american express cards you touch the card flat against the reader like you would with an oyster card but your account is charged instead some foreignissued cards will not work for contactless payment the total charges for that day are calculated and taken out of your account overnight as with oyster you are charged for each bus fare up to a cap each day in addition a weekly price cap applies from monday to sunday seeabovefor further information on contactless payment children aged 10 and under travel for free on the bus when accompanied by an adult children between the ages of 11 and 15 must touch in using a zip card yet journeys are still free on buses if they do not have a zip card they must pay the full fare using an adult oyster or contactless card 1618 student oyster cards only available to students studying in london go up to age 18 and journeys are still free residents of england who have an encts free bus pass for the elderly or disabled also get free travel simply show your pass to the driver or conductor night bus hints standard bus services run from around 6am1230am around half past midnight the network changes to the vast night bus network of well over 100 routes stretching all over the city there are two types of night buses 24hour routes and nprefixed routes 24hour services keep the same number as during the day and will run exactly the same route such as the number 88 for example nprefixed routes are generally very similar to their dayroute but may take a slightly different route or are extended to serve areas that are further out for example the 29 bus goes from trafalgar square to wood green during the day however the n29 bus goes from trafalgar square to wood green and then continues to enfield night buses run at a 30minute frequency at minimum with many routes at much higher frequencies up to every 5 minutes prices stay the same and daily travelcards are valid until 0429 the day after they were issued so can be used on night buses most bus stops will have night bus maps with all the buses to and from that local area on it although it is good to check on the tfl website beforehand which also has all those maps easily available
Get around,By DLR,docklands light railway dlris a dedicated light rail network operating ineast london connecting with the tube network at bank tower gateway close to tower hill station canning town heron quays close to canary wharf tube station and stratford as the trains operate automatically it can be quite exciting – especially for children – to sit at the front and look out through the window whilst feeling as though one is driving the train oneself the dlr runs above ground on much of its route and travels through many scenic parts of london including the docklands area where most of londons skyscrapers are located the dlr can be a little confusing as the routes are not easily distinguished however there are network maps on the train and the platform check the displays on the platform which will show you the destination and the wait for the next three trains and also check the destination displays on the front and side of the train and listen for announcements at busy times some trains do not run the full length of the route in this instance you should take the first train listen for announcements and change where necessary be extra careful atcanning townstation as it is very busy and the line divides into two sections  one heading to woolwich arsenal and the other heading to beckton always check the destination on the front of the train before getting on especially at offpeak times when there may not be a return train for a good few minutes if you end up on the wrong branch unlike on the tube most dlr stations do not have ticket gates except for bank and stratford as they are unstaffed also unlike the tube youdoneed to push the buttons to open the doors you can top up an oyster card buy a travelcard or buy a paper ticket at a substantial premium from the ticket machines at the station most stations are unstaffed so if you want to pay by cash then make sure you have plenty of change as there are no gates when travelling by oyster you must always remember to touch in at the start of your journey and touch out at the end even if you are changing to the underground at canary wharfheron quays you must still touch inout at the dlr station the system will recognise that you have made an interchange between the two stations and treat it as part of the same journey
Get around,By train,the british railway system is known asnational railalthough some older signs still refer to it as british rail londons suburban rail services are operated by several private companies under tightlywritten government contracts and mostly run in the south of the city away from the main tourist sights only one line thameslink runs through central london  on a northsouth axis between london bridge or blackfriars stations and the underground level of st pancras main line station there is no one central station  instead there are twelve mainline stations dotted around the edge of the central area and most are connected by the circle line except euston fenchurch street and those south of the river like waterloo and london bridge most visitors will not need to use national rail services except for a few specific destinations such as wimbledon hampton court kew gardens kew bridge station windsor castle greenwich or the airports or indeed if they are intending to visit other destinations in the uk its important to know that the quickest route between two stations is often a combination of the tube as well as national rail trains for instance if you are going from central london to wimbledon it will usually be much quicker to go to waterloo and take the first wimbledon train around 15 minutes maximum rather than take the district line which can take up to 45 minutes your payasyougo oyster card is valid in london zones 19 and some extensions but not beyond so be careful — if you want to travel beyond the london zones you will need to buy a paper ticket from the ticket office at the station if you travel beyond the london zones with no valid ticket you will be charged a penalty fare on national rail services this is usually £20 you will have to buy another ticket for the remainder of your journey and you will also be charged the maximum oyster fare because you didnt touch out this adds up to a lot so be careful and make sure you plan your journey if in doubt ask at the ticket office importantly there are stations where contactless paymentbut notoyster is accepted  watch out for them there are express trains to and from heathrow gatwick and stansted airports tickets are often sold at a substantial premium so you may want to consider taking the slightly slower stopping services instead for instance an anytime single from victoria to gatwick costs more on the gatwick express then when marked route southern only—taking a southern train to gatwick is only eight minutes longer similarly while the journey from paddington station to heathrow airport by elizabeth line will take around 1015 minutes longer than by heathrow express the walkup fare will be twice as cheap and even cheaper on the tube though the journey takes considerably longer so its often only worth the premium when youre in a hurryoyster cards are only validto heathrow when travelling by tube heathrow express or the elizabeth line to gatwick by national rail including gatwick express and to city by dlr to all other airports they are not valid dont throw your ticket away until youre out of the station at your destination many stations have ticket gates which you will need to put your ticket through to exit also you need to retain all the parts of your ticket throughout your journey as a member of railway staff may need to see it
Get around,By Overground,overground hints in common parlance londoners may refer to travelling by overground meaning going by national rail as opposed to going by underground however onlylondon overgroundis a transport for london rail service which serves most boroughs of the capital oyster cards are accepted trains will usually run a minimum frequency of every 15 minutes and some stations have a considerably more frequent service the trains have big windows allowing for great urban scenic views the overground appears on the tube map as a double orange line tfl also produces amap only showing overground services at many stations trains leaving from the same platform will go to different destinations so listen carefully for announcements and always check the destination on the front of the train the overground can be a great way to avoid changing trains in central london by skirting around the centre its also wellconnected you can frequently change for underground trains other overground destinations or for mainline national rail services from stratford clapham junction and watford junction the different overground services will be given distinct line names and colours from autumn 2024 
Get around,By the Elizabeth line,theelizabeth lineknown as crossrail before and during construction is londons newest railway line having opened in may 2022 after a long series of delays it appears on the tube map as a double purple line the colour purple is associated with royalty it runs from reading and heathrow airport in the west toabbey woodandshenfieldin the east via london paddington farringdon london liverpool st and stratford the elizabeth line is comparable to the rer in paris compared to the underground it has longer and faster trains that stop less frequently with the exception of ilford station it is fully wheelchairaccessible and the trains are airconditioned
